type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,10,1
sway1,1968.0,18.8,40.0,0.3,10,1
xpln1,1975.0,17.0,30.0,0.3,10,1
sway2,2110.0,17.9,50.0,0.15,10,1
xpln2,2155.0,16.4,30.0,0.15,10,1
top,2130.0,24.6,40.0,19.9,10,1
all,2800.0,15.5,20.0,0.0,10,2
sway1,1971.5,19.1,40.0,0.6,10,2
xpln1,2155.0,16.75,30.0,0.6,10,2
sway2,2110.0,17.9,50.0,0.3,10,2
xpln2,2155.0,16.4,30.0,0.3,10,2
top,2130.0,24.6,40.0,39.8,10,2
all,2800.0,15.5,20.0,0.0,10,3
sway1,2017.6666666666667,18.7,43.333333333333336,0.9,10,3
xpln1,2095.0,17.166666666666668,30.0,0.9,10,3
sway2,2110.0,17.9,50.0,0.45,10,3
xpln2,2155.0,16.4,30.0,0.45,10,3
top,2130.0,24.600000000000005,40.0,59.7,10,3
all,2800.0,15.5,20.0,0.0,10,4
sway1,1969.5,18.675,42.5,1.2,10,4
xpln1,2129.75,16.8,30.0,1.2,10,4
sway2,2110.0,17.9,50.0,0.6,10,4
xpln2,2155.0,16.4,30.0,0.6,10,4
top,2130.0,24.6,40.0,79.6,10,4
all,2800.0,15.5,20.0,0.0,10,5
sway1,1965.6,19.14,40.0,1.5,10,5
xpln1,2290.4,16.34,28.0,1.5,10,5
sway2,2110.0,17.9,50.0,0.75,10,5
xpln2,2155.0,16.4,30.0,0.75,10,5
top,2130.0,24.6,40.0,99.5,10,5
all,2800.0,15.5,20.0,0.0,10,6
sway1,1950.5,18.683333333333334,40.0,1.8,10,6
xpln1,2297.8333333333335,16.366666666666667,28.333333333333332,1.8,10,6
sway2,2110.0,17.900000000000002,50.0,0.9,10,6
xpln2,2155.0,16.400000000000002,30.0,0.9,10,6
top,2130.0,24.599999999999998,40.0,119.4,10,6
all,2800.0,15.5,20.0,0.0,10,7
sway1,1950.4285714285713,19.014285714285712,38.57142857142857,2.1,10,7
xpln1,2273.1428571428573,16.37142857142857,28.571428571428573,2.1,10,7
sway2,2110.0,17.900000000000002,50.0,1.05,10,7
xpln2,2155.0,16.400000000000002,30.0,1.05,10,7
top,2130.0,24.599999999999998,40.0,139.3,10,7
all,2800.0,15.5,20.0,0.0,10,8
sway1,1908.25,18.8875,38.75,2.4,10,8
xpln1,2232.75,16.4375,28.75,2.4,10,8
sway2,2110.0,17.900000000000002,50.0,1.2,10,8
xpln2,2155.0,16.400000000000002,30.0,1.2,10,8
top,2130.0,24.599999999999998,40.0,159.2,10,8
all,2800.0,15.5,20.0,0.0,10,9
sway1,1912.888888888889,19.12222222222222,37.77777777777778,2.7,10,9
xpln1,2214.1111111111113,16.444444444444443,28.88888888888889,2.7,10,9
sway2,2110.0,17.900000000000002,50.0,1.35,10,9
xpln2,2155.0,16.400000000000002,30.0,1.35,10,9
top,2130.0,24.599999999999998,40.0,179.1,10,9
all,2800.0,15.5,20.0,0.0,10,10
sway1,1882.9,19.009999999999998,38.0,3.0,10,10
xpln1,2190.2,16.5,29.0,3.0,10,10
sway2,2110.0,17.900000000000002,50.0,1.5,10,10
xpln2,2155.0,16.400000000000002,30.0,1.5,10,10
top,2130.0,24.599999999999998,40.0,199.0,10,10
all,2800.0,15.5,20.0,0.0,10,11
sway1,1899.909090909091,18.972727272727273,38.18181818181818,3.3,10,11
xpln1,2171.5454545454545,16.572727272727274,29.09090909090909,3.3,10,11
sway2,2110.0,17.900000000000002,50.0,1.65,10,11
xpln2,2155.0,16.400000000000002,30.0,1.65,10,11
top,2130.0,24.599999999999998,40.0,218.9,10,11
all,2800.0,15.5,20.0,0.0,10,12
sway1,1887.8333333333333,18.8,38.333333333333336,3.6,10,12
xpln1,2155.1666666666665,16.633333333333336,29.166666666666668,3.6,10,12
sway2,2110.0,17.900000000000002,50.0,1.8,10,12
xpln2,2155.0,16.400000000000002,30.0,1.8,10,12
top,2130.0,24.599999999999998,40.0,238.8,10,12
all,2800.0,15.5,20.0,0.0,10,13
sway1,1883.7692307692307,18.93076923076923,37.69230769230769,3.9,10,13
xpln1,2148.923076923077,16.700000000000003,29.23076923076923,3.9,10,13
sway2,2110.0,17.900000000000002,50.0,1.95,10,13
xpln2,2155.0,16.400000000000002,30.0,1.95,10,13
top,2130.0,24.6,40.0,258.7,10,13
all,2800.0,15.5,20.0,0.0,10,14
sway1,1897.0714285714287,18.907142857142855,37.857142857142854,4.2,10,14
xpln1,2137.214285714286,16.72142857142857,29.285714285714285,4.2,10,14
sway2,2110.0,17.900000000000002,50.0,2.1,10,14
xpln2,2155.0,16.400000000000002,30.0,2.1,10,14
top,2130.0,24.6,40.0,278.6,10,14
all,2800.0,15.5,20.0,0.0,10,15
sway1,1878.1333333333334,18.846666666666668,38.0,4.5,10,15
xpln1,2119.2,16.80666666666667,29.333333333333332,4.5,10,15
sway2,2110.0,17.900000000000002,50.0,2.25,10,15
xpln2,2155.0,16.400000000000002,30.0,2.25,10,15
top,2130.0,24.600000000000005,40.0,298.5,10,15
all,2800.0,15.5,20.0,0.0,10,16
sway1,1883.75,18.84375,38.125,4.8,10,16
xpln1,2110.1875,16.81875,29.375,4.8,10,16
sway2,2110.0,17.900000000000002,50.0,2.4,10,16
xpln2,2155.0,16.400000000000002,30.0,2.4,10,16
top,2130.0,24.600000000000005,40.0,318.4,10,16
all,2800.0,15.5,20.0,0.0,10,17
sway1,1889.1176470588234,18.876470588235293,38.23529411764706,5.1,10,17
xpln1,2123.4117647058824,16.8,29.41176470588235,5.1,10,17
sway2,2110.0,17.900000000000002,50.0,2.55,10,17
xpln2,2155.0,16.400000000000002,30.0,2.55,10,17
top,2130.0,24.600000000000005,40.0,338.3,10,17
all,2800.0,15.5,20.0,0.0,10,18
sway1,1897.2222222222222,19.06111111111111,37.77777777777778,5.4,10,18
xpln1,2115.1666666666665,16.866666666666667,29.444444444444443,5.4,10,18
sway2,2110.0,17.9,50.0,2.7,10,18
xpln2,2155.0,16.4,30.0,2.7,10,18
top,2130.0,24.60000000000001,40.0,358.2,10,18
all,2800.0,15.5,20.0,0.0,10,19
sway1,1903.9473684210527,19.015789473684208,37.89473684210526,5.7,10,19
xpln1,2111.4736842105262,16.88947368421053,30.0,5.7,10,19
sway2,2110.0,17.9,50.0,2.85,10,19
xpln2,2155.0,16.4,30.0,2.85,10,19
top,2130.0,24.60000000000001,40.0,378.1,10,19
all,2800.0,15.5,20.0,0.0,10,20
sway1,1900.55,19.115,37.5,6.0,10,20
xpln1,2169.8,16.745,29.5,6.0,10,20
sway2,2110.0,17.9,50.0,3.0,10,20
xpln2,2155.0,16.4,30.0,3.0,10,20
top,2130.0,24.60000000000001,40.0,398.0,10,20
